DN,objectClass,sAMAccountName,sn,givenName,userPrincipalNAme,company,userAccountControl
"CN=Jens Geschwandtner,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,jens,Geschwandtner,Jens,jens@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Sidney Higa,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,sidney,Higa,Sidney,sidney@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Anders Madsen,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,Anders,Madsen,Anders,anders@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Bobby Moore,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,bobby,Moore,Bobby,bobby@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Mandar Samant,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,mandar,Samant,Mandar,mandar@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Susanna Stubberod,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,susanna,Stubberod,Susanna,susanna@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Walter Felhofer,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,walter,Walter,Felhofer,walter@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Peter Waxman,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,peter,Waxman,Peter,peter@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Norimichi Yonekura,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,norimichi,Yonekura,Norimichi,norimichi@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Marko Zajc,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,marko,Zajc,Marko,marko@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Stephan Adolphi,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,stephan,Adolphi,Stephan,stephan@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Alan Brewer,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,alan,Brewer,Alan,alan@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Alex Eggerer,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,alex,Eggerer,Alex,alex@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Nikolay Grachev,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,nikolay,Grachev,Nikolay,nikolay@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Dylan Miller,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,dylan,Miller,Dylan,dylan@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Freeda Olaf,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,freeda,Olaf,Freeda,freeda@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Max Stevens,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,Max,Stevens,Max,max@gyakorlat.local,"RepterHungary, Kft",8389152
